lema_sin_odio,frec_sin_odio,frel_sin_odio,lema_con_odio,frec_con_odio,frel_con_odio
usuarioofuscado,4475,5.80%,usuarioofuscado,89,6.10%
año,2277,2.95%,mierda,60,4.11%
gobierno,2007,2.60%,puta,49,3.36%
persona,1679,2.17%,hijo,35,2.40%
españa,1572,2.04%,asco,34,2.33%
caso,1307,1.69%,q,32,2.19%
país,1300,1.68%,gente,31,2.12%
ver,1272,1.65%,gobierno,30,2.06%
pasar,1188,1.54%,mentiroso,26,1.78%
madrid,1116,1.45%,vergüenza,25,1.71%
millón,1094,1.42%,salir,25,1.71%
haber,1058,1.37%,panfleto,24,1.64%
seguir,1051,1.36%,país,22,1.51%
gente,1048,1.36%,basura,22,1.51%
español,967,1.25%,tonto,22,1.51%
vacuna,959,1.24%,gentuza,21,1.44%
querer,931,1.21%,miserable,21,1.44%
dejar,905,1.17%,pagar,20,1.37%
pandemia,887,1.15%,cara,18,1.23%
tener,874,1.13%,pasar,17,1.17%
público,868,1.12%,españa,17,1.17%
euros,865,1.12%,político,17,1.17%
poner,861,1.12%,menudo,15,1.03%
medida,858,1.11%,madrid,15,1.03%
hora,850,1.10%,culo,15,1.03%
comunidad,842,1.09%,español,15,1.03%
llegar,828,1.07%,mundo,15,1.03%
poder,824,1.07%,dinero,14,0.96%
político,817,1.06%,gilipol él,14,0.96%
cosa,813,1.05%,usuarioofuscadir,14,0.96%
decir,798,1.03%,cárcel,14,0.96%
tiempo,778,1.01%,ir,13,0.89%
salir,777,1.01%,año,13,0.89%
mes,766,0.99%,hipócrita,13,0.89%
vida,761,0.99%,corrupto,13,0.89%
usuarioofuscadir,750,0.97%,ver,13,0.89%
quedar,749,0.97%,madre,12,0.82%
social,730,0.95%,dejar,12,0.82%
semana,727,0.94%,sinvergüenza,12,0.82%
mundo,704,0.91%,acabar,12,0.82%
momento,698,0.90%,seguir,12,0.82%
centro,695,0.90%,socialista,12,0.82%
problema,687,0.89%,facha,12,0.82%
esperar,682,0.88%,vivir,12,0.82%
partido,681,0.88%,hdp,12,0.82%
deber,662,0.86%,terrorista,12,0.82%
pagar,661,0.86%,tener,12,0.82%
servicio,659,0.85%,hablar,11,0.75%
pedir,659,0.85%,asqueroso,11,0.75%
situación,658,0.85%,tomar,11,0.75%
presidente,658,0.85%,haber,11,0.75%
ir,657,0.85%,democracia,11,0.75%
sanitario,646,0.84%,qu,11,0.75%
vivir,640,0.83%,puto,11,0.75%
venir,631,0.82%,ladrón,10,0.69%
trabajo,629,0.81%,asesino,10,0.69%
trump,628,0.81%,mujer,10,0.69%
forma,618,0.80%,poder,10,0.69%
casa,614,0.80%,decir,10,0.69%
empresa,601,0.78%,partido,10,0.69%
q,600,0.78%,impuesto,10,0.69%
llevar,595,0.77%,dar,10,0.69%
hacer,583,0.76%,sánchez,10,0.69%
i,580,0.75%,pobre,10,0.69%
pp,573,0.74%,persona,10,0.69%
estar,565,0.73%,querer,9,0.62%
trabajar,560,0.73%,cosa,9,0.62%
hospital,554,0.72%,dais,9,0.62%
volver,553,0.72%,creer,9,0.62%
pensar,549,0.71%,pensar,9,0.62%
tambin,539,0.70%,inútil,9,0.62%
mujer,532,0.69%,fascista,9,0.62%
mantener,525,0.68%,vox,9,0.62%
ciudad,520,0.67%,jeta,9,0.62%
medio,510,0.66%,comunista,8,0.55%
calle,505,0.65%,política,8,0.55%
qu,504,0.65%,pp,8,0.55%
entender,501,0.65%,tanto,8,0.55%
salud,496,0.64%,malo,8,0.55%
dar,496,0.64%,estupidez,8,0.55%
tomar,494,0.64%,inepto,8,0.55%
permitir,491,0.64%,periodismo,8,0.55%
derecho,489,0.63%,llevar,8,0.55%
hablar,486,0.63%,importar,8,0.55%
zona,486,0.63%,único,8,0.55%
ciudadano,483,0.63%,psicópata,8,0.55%
acabar,481,0.62%,deber,8,0.55%
dinero,481,0.62%,morir,8,0.55%
creer,480,0.62%,idiota,8,0.55%
grupo,475,0.62%,humano,8,0.55%
dato,470,0.61%,hp,8,0.55%
explicar,459,0.59%,d,8,0.55%
catalán,458,0.59%,poner,8,0.55%
punto,455,0.59%,derecha,8,0.55%
número,451,0.58%,informativo,8,0.55%
ley,448,0.58%,esperar,8,0.55%
lugar,447,0.58%,vida,8,0.55%
virus,446,0.58%,ignorante,8,0.55%
ayuntamiento,445,0.58%,favor,7,0.48%
sánchez,444,0.58%,caso,7,0.48%
